
## 构建 (N=10,000)
构建: 标量数组                                       中位数: 26.590ms    最快: 18.706ms
构建: 对象数组                                       中位数: 126.802ms    最快: 110.913ms

## 读取 (N=10,000)
读取: 标量数组 [无订阅者]                                中位数: 34.262ms    最快: 29.489ms
读取: 对象数组取属性 [无订阅者]                             中位数: 57.068ms    最快: 52.279ms
读取: 对象数组取属性 [write watch]                      中位数: 63.154ms    最快: 57.444ms
读取: 对象数组取属性 [* watch]                          中位数: 60.758ms    最快: 53.614ms

## 快照与变更
快照: getSnap (10k 对象数组)                         中位数: 95.237ms    最快: 86.387ms
变更: push/pop x100 (标量数组)                       中位数: 0.239ms    最快: 0.138ms
变更: 索引写入 x100 (标量数组)                           中位数: 0.127ms    最快: 0.077ms

(sink=402236 防止死代码消除)
